"Note","Course","Module","Clip","Time in Clip","URL"
"List<? extends Person> x --> get/read            List<? super Person> x --> put /write","Java Fundamentals: Generics","Wildcards","Lower Bounded Wildcards","7:54","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=3&mode=live&start=474.421941&noteid=9490a56d-54c4-4e8e-bc85-c6bc3c40988c"
"extends Person --> person and its subclass // so it is upperlimit                               super Person  --> person and it super class like Object class // so it is lower limit","Java Fundamentals: Generics","Wildcards","Lower Bounded Wildcards","7:54","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=3&mode=live&start=474.421941&noteid=5a91ba87-590c-496b-82c0-6967b5b90677"
"e for extends , e for upperbound                           s fo rsuper , s for lowerbound","Java Fundamentals: Generics","Wildcards","Unbounded Wildcards","0:28","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=4&mode=live&start=28.780112&noteid=8e1eadc3-8cc4-45da-9243-b6f34f9ead76"
"Class<? > means Class<? extends Object> ","Java Fundamentals: Generics","Wildcards","Unbounded Wildcards","2:31","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=4&mode=live&start=151.78495&noteid=07c81285-3fdc-46df-832a-7d18858b4b0f"
"demo local tunnel is too cool","Building a JavaScript Development Environment","Development Web Server","Demo: Sharing Work-in-progress","2:32","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m4&clip=4&mode=live&start=152.48416&noteid=e396d1dd-5be3-4cb9-af87-395b3f5a3203"
"Class<Object> and Class<?> difference ? means any class but Class<Object> means only object class","Java Fundamentals: Generics","Wildcards","Unbounded Wildcards","3:48","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=4&mode=live&start=228.936778&noteid=b9c2b5a8-986d-4801-a801-9a358427e53f"
"very good.. to know concept........................ f1(List<? extends Object> objects) this means the list which is passed as a parameter to some funciton, can only be read .. cant be mutated .. covariance cannot be mutated.. so you can only read value from covariant parameter","Java Fundamentals: Generics","Wildcards","Unbounded Wildcards","5:02","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=4&mode=live&start=302.370039&noteid=ad43ee2f-5d4f-423d-8f22-2af3a6538356"
"in C# --> covariant is an 'out' parameter , that is not mutable or immutable or read only list","Java Fundamentals: Generics","Wildcards","Unbounded Wildcards","5:02","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=4&mode=live&start=302.370039&noteid=48956954-dcfb-4bb7-9046-2e10b843c0f5"
"only covairant allowed in java is null.. ie List<? extends Object> x =new ArrayList();","Java Fundamentals: Generics","Wildcards","Unbounded Wildcards","5:02","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=4&mode=live&start=302.370039&noteid=03385ae4-0bd0-4878-a14b-535462dc3587"
"x.add(null); //which  means the list is not initialised ..and values i provided from outside..","Java Fundamentals: Generics","Wildcards","Unbounded Wildcards","5:02","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=4&mode=live&start=302.370039&noteid=bd39b7d7-5db3-4d1e-8e73-aaad47ee3ba4"
"covariant list is a list whose  values are provided from out side and the function itself will only read the values from list..parameter","Java Fundamentals: Generics","Wildcards","Unbounded Wildcards","5:02","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=4&mode=live&start=302.370039&noteid=036b1c88-5745-4e1c-ac5e-370b818700ed"
"contravariant list is a list whose values are provided with in or initalised (write only) with in function --> out ","Java Fundamentals: Generics","Wildcards","Unbounded Wildcards","5:11","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=4&mode=live&start=311.684224&noteid=d23f29a8-1335-47eb-90bd-d21c54f4aa5e"
"""Null is the only value that can be COERCED "" into a covariant list","Java Fundamentals: Generics","Wildcards","Unbounded Wildcards","5:50","https://app.pluralsight.com/player?course=java-generics&author=richard-warburton&name=java-generics-m5&clip=4&mode=live&start=350.341158&noteid=5f3ffa42-2419-4744-b643-c83d9de4732f"
"socket.on('submit') means listen to submit event","Introduction to Node.js","Interacting with the Web","Demo: Socket.IO","2:06","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m5-web&clip=5&mode=live&start=126.533137&noteid=a11ead48-d9c3-4e7b-847e-b1cdb0e90d92"
"async problems... good one","ASP.NET MVC 4 Fundamentals","Async Await in MVC 4","Async and Parallel","1:23","https://app.pluralsight.com/player?course=mvc4&author=scott-allen&name=mvc4-m5-async&clip=6&mode=live&start=83.964917&noteid=97ab0270-81df-4d54-91e1-f168f5278282"
"For Digest authentication you need ActiveDirectory Server","HTTP Fundamentals","HTTP Security","Windows Authentication","1:58","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m5-security&clip=6&mode=live&start=118.125864&noteid=8915b30b-788b-412b-b25e-16ad86484b3a"
"await Task.WhenAll(task1 , task2)","ASP.NET MVC 4 Fundamentals","Async Await in MVC 4","Async and Parallel","5:09","https://app.pluralsight.com/player?course=mvc4&author=scott-allen&name=mvc4-m5-async&clip=6&mode=live&start=309.913931&noteid=32403d7a-4700-4d3d-88ad-a8cbb30b37be"
"when it comes to interfaces there is a concept called variance ","C# Generics","Constraints, Covariance, and Contravariance","Covariance","0:02","https://app.pluralsight.com/player?course=csharp-generics&author=scott-allen&name=csharp-generics-m5-constraints&clip=8&mode=live&start=2.04733&noteid=fb05f40f-a20b-4f74-98c5-4356759ecc89"
"wiggle room-->negotiation room                covariance allows some wiggle room, ie its more..lineint ..to allow subtypes..","C# Generics","Constraints, Covariance, and Contravariance","Covariance","2:55","https://app.pluralsight.com/player?course=csharp-generics&author=scott-allen&name=csharp-generics-m5-constraints&clip=8&mode=live&start=175.829003&noteid=c7e10450-895e-47a0-b0b1-2cf4244b8704"
"very good...explanation..here..","C# Generics","Constraints, Covariance, and Contravariance","Covariance","3:06","https://app.pluralsight.com/player?course=csharp-generics&author=scott-allen&name=csharp-generics-m5-constraints&clip=8&mode=live&start=186.320549&noteid=87bbe1ad-1a35-4871-a344-ed093fe01254"
"A covariant interface like IEnumerable will allow more..derived types (upper bound)--> More.. derived type.. than the type specified by the generic parameter... Covariance-->More More derived type","C# Generics","Constraints, Covariance, and Contravariance","Covariance","3:19","https://app.pluralsight.com/player?course=csharp-generics&author=scott-allen&name=csharp-generics-m5-constraints&clip=8&mode=live&start=199.021611&noteid=571c7f43-1e27-43f7-bdd9-21d51f8169be"
"multiple exit points.... single entry and single exit","C# Programming Paradigms","Crafting C# Code","Rule #4","0:41","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-craft&clip=10&mode=live&start=41.392135&noteid=31c53242-a78c-4112-8a1b-34106e5bad12"
"passport authentication in express","Node.js for .NET Developers","Securing Node.js","Introduction","0:36","https://app.pluralsight.com/player?course=nodejs-dotnet-developers&author=shawn-wildermuth&name=nodejs-dotnet-developers-m6&clip=0&mode=live&start=36.967019&noteid=a3c6fea6-04f1-4f06-a033-0f30f278e553"
"solidity code..","Blockchain Fundamentals","Understanding Smart Contracts","Smart Contracts Basic","1:41","https://app.pluralsight.com/player?course=blockchain-fundamentals&author=janerik-sandberg&name=blockchain-fundamentals-m5&clip=0&mode=live&start=101.189805&noteid=48938ce5-f6d1-4d9d-bd1f-09cc3941a6ca"
"multiple inheritance..","Blockchain Fundamentals","Understanding Smart Contracts","Smart Contracts Basic","1:44","https://app.pluralsight.com/player?course=blockchain-fundamentals&author=janerik-sandberg&name=blockchain-fundamentals-m5&clip=0&mode=live&start=104.745739&noteid=7c316b57-fd6f-436b-a4f1-3445c545f10f"
"what is equal and strict equal in javascript","Introduction to Node.js","Testing and Debugging","Introduction, The Assert Module","1:49","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m6-testing&clip=0&mode=live&start=109.587055&noteid=a3872f6e-832e-4c05-a2b6-737a7cd0db6b"
"Reflection is used in datbinding,data annotaions.., model binding..","C# Generics","Generics and Reflection","Instantiating Generic Types","0:05","https://app.pluralsight.com/player?course=csharp-generics&author=scott-allen&name=csharp-generics-m6-reflection&clip=1&mode=live&start=5.311571&noteid=b8c7ab4e-da4b-4810-934e-3549bf4f079c"
"a middle ware is a pipeline","Node.js for .NET Developers","Securing Node.js","Express.js Pipeline Explained","1:23","https://app.pluralsight.com/player?course=nodejs-dotnet-developers&author=shawn-wildermuth&name=nodejs-dotnet-developers-m6&clip=1&mode=live&start=83.21956&noteid=53da1fa8-74ad-4c7e-ba14-6330aa5bd281"
"gulp is better than grunt","Building a JavaScript Development Environment","Automation","Automation Options","2:01","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m5&clip=1&mode=live&start=121.201593&noteid=6c2cc3e2-2710-45b2-a28d-b4929db92723"
"app.use is a way to include other middle wares.. or custom middle wares","Node.js for .NET Developers","Securing Node.js","Express.js Pipeline Explained","2:08","https://app.pluralsight.com/player?course=nodejs-dotnet-developers&author=shawn-wildermuth&name=nodejs-dotnet-developers-m6&clip=1&mode=live&start=128.314283&noteid=45b93eb5-306c-4859-8bcf-aa11ae946a14"
"npm script is also good","Building a JavaScript Development Environment","Automation","Automation Options","2:12","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m5&clip=1&mode=live&start=132.119734&noteid=6a6d5d31-4e71-441d-bfb8-1949fe60a5f6"
"express.urlencoded() look for form data and put into properties..","Node.js for .NET Developers","Securing Node.js","Express.js Pipeline Explained","2:33","https://app.pluralsight.com/player?course=nodejs-dotnet-developers&author=shawn-wildermuth&name=nodejs-dotnet-developers-m6&clip=1&mode=live&start=153.071671&noteid=d2b2bf32-7277-4672-b58d-c28b3906015c"
"collection-->documents-->","Introduction to Mongoose for Node.js and MongoDB","Queries","Documents and Their Helper Methods","2:39","https://app.pluralsight.com/player?course=mongoose-for-nodejs-mongodb&author=mark-scott&name=mongoose-for-nodejs-mongodb-m6&clip=1&mode=live&start=159.41884&noteid=190bcab3-88f0-48cf-b386-5056e9ab7b80"
"router are called later.. app.get app.post etc.. before routing you can set your custom middle wares","Node.js for .NET Developers","Securing Node.js","Express.js Pipeline Explained","3:34","https://app.pluralsight.com/player?course=nodejs-dotnet-developers&author=shawn-wildermuth&name=nodejs-dotnet-developers-m6&clip=1&mode=live&start=214.714685&noteid=4f1fb809-1c9f-4c92-89b2-3472ad4ca6b0"
"simple IOC container..","C# Generics","Generics and Reflection","Build Your Own Container","0:09","https://app.pluralsight.com/player?course=csharp-generics&author=scott-allen&name=csharp-generics-m6-reflection&clip=3&mode=live&start=9.493317&noteid=a1a58b79-3956-456c-bd73-164793734b9e"
"simple example of relfection is IOC containers.","C# Generics","Generics and Reflection","Build Your Own Container","0:14","https://app.pluralsight.com/player?course=csharp-generics&author=scott-allen&name=csharp-generics-m6-reflection&clip=3&mode=live&start=14.1808&noteid=f1f19bb7-3563-471e-8d06-7012d4f471eb"
"npm start ,npm test  but other scripts shoud use npm run","Building a JavaScript Development Environment","Automation","Demo: Pre/Post Hooks","0:52","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m5&clip=3&mode=live&start=52.83036&noteid=b493b47e-c5d8-4c5f-9260-b3dab09aefee"
"process.exit return function so..change to process.exit() paranthesis","Learning To Program - Part 1: Getting Started","Learning To Program - Objects","Build Your Own","2:23","https://app.pluralsight.com/player?course=learning-programming-javascript&author=scott-allen&name=learning-programming-javascript-m6&clip=3&mode=live&start=143.276331&noteid=a4132b86-3bac-47b1-8a03-c99eef5b9382"
"IOC containers can resolve types","C# Generics","Generics and Reflection","Build Your Own Container","4:24","https://app.pluralsight.com/player?course=csharp-generics&author=scott-allen&name=csharp-generics-m6-reflection&clip=3&mode=live&start=264.633011&noteid=292b9c6b-9237-4afd-ab90-b478a1cfb26c"
"hash is a one way encryption alogrithm..","Node.js for .NET Developers","Securing Node.js","Implementing the Register Page","0:59","https://app.pluralsight.com/player?course=nodejs-dotnet-developers&author=shawn-wildermuth&name=nodejs-dotnet-developers-m6&clip=4&mode=live&start=59.748369&noteid=383d780e-9223-4ab7-931e-cc036de4e1bb"
"hash with a salt ...","Node.js for .NET Developers","Securing Node.js","Implementing the Register Page","1:43","https://app.pluralsight.com/player?course=nodejs-dotnet-developers&author=shawn-wildermuth&name=nodejs-dotnet-developers-m6&clip=4&mode=live&start=103.292151&noteid=bb801fdd-cc16-4424-be12-af3a7fa3ca9c"
"some times in mid of the project due to perfromance issues we may need to switch providers from hibernate to toplink but what if they don't implement jpa sepcification ?? Vendor specific annotations and things like that will not help in transission from one provider to other","Spring with JPA and Hibernate","Overview of JPA and creating your first entity","Hibernate Influence","3:59","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m6-jpa&clip=4&mode=live&start=239.564317&noteid=15c97040-ab59-461c-9336-94b67a79e7e3"
"npm run all helps to run task in parallel","Building a JavaScript Development Environment","Automation","Demo: Concurrent Tasks","0:49","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m5&clip=5&mode=live&start=49.784306&noteid=03514917-eb36-4d03-9a27-a98b7adfd2de"
"each group is a bucket....with label as carmanufacturer name and value as list of cars","LINQ Fundamentals with C# 6.0","Joining, Grouping & Aggregating","Grouping Data","4:47","https://app.pluralsight.com/player?course=linq-fundamentals-csharp-6&author=scott-allen&name=linq-fundamentals-csharp-6-m5&clip=5&mode=live&start=287.728871&noteid=1df7b1c6-1ff8-4737-a78a-0738e6838bd2"
"splitting up module deals with export and require","Learning To Program - Part 1: Getting Started","Learning To Program - Objects","Splitting Up","10:04","https://app.pluralsight.com/player?course=learning-programming-javascript&author=scott-allen&name=learning-programming-javascript-m6&clip=5&mode=live&start=604.818182&noteid=51d52f27-a8dc-4f96-bb49-88049d06c97c"
"validate-->production auto,create,update","Spring with JPA and Hibernate","Overview of JPA and creating your first entity","JPA Properties Configuration.xml","2:32","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m6-jpa&clip=6&mode=live&start=152.278613&noteid=a74e6133-7ecb-4c2b-8186-372fc44cc86b"
"Trusted Applications.. bearer token","Web API v2 Security","Token-based Authentication - Part 1","Trusted Applications","8:30","https://app.pluralsight.com/player?course=webapi-v2-security&author=dominick-baier&name=webapi-v2-security-m6a-tokens&clip=6&mode=live&start=510.859819&noteid=110ba237-b0c0-4198-aa7e-2f9db5a4d6f9"
"course on dive into Mongoose.. its more of an orm which have schema.  Mongodb doesnot have schema but mongoose have schema","Building Web Applications with Node.js and Express 4.0","Databases","Select One","5:58","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m6&clip=9&mode=live&start=358.452556&noteid=f2b22ced-f7fa-4b87-bd56-935416c2772b"
"a module is more of like a library","Learning To Program - Part 1: Getting Started","Learning To Program - Tests","Setting Up","2:03","https://app.pluralsight.com/player?course=learning-programming-javascript&author=scott-allen&name=learning-programming-javascript-m7&clip=1&mode=live&start=123.488176&noteid=e2034389-aa00-448f-a154-570b84977d4a"
"exec helps to execute an arbitrary command on our system.","Introduction to Node.js","Scaling Your Node Application","Demo: The ""spawn"" function","0:01","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m7-scaling&clip=2&mode=live&start=1.880329&noteid=2c4a851f-1012-470c-8f2b-b21b74389a5d"
"a document is an instance of mongoose model","Introduction to Mongoose for Node.js and MongoDB","Validation","Introduction to Middleware","0:16","https://app.pluralsight.com/player?course=mongoose-for-nodejs-mongodb&author=mark-scott&name=mongoose-for-nodejs-mongodb-m7&clip=2&mode=live&start=16.489203&noteid=edf57e31-bf0c-4a2c-a41d-f183a419895d"
"what is compound primary key","Spring with JPA and Hibernate","JPA Annotations and how to use them","Annotation An Entity","1:00","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m7-jpaannotation&clip=2&mode=live&start=60.234309&noteid=ed5b1d51-2cc3-4d4f-9221-9794db88338b"
"@Id in conjunction @GeneratedValue","Spring with JPA and Hibernate","JPA Annotations and how to use them","Annotation An Entity","1:10","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m7-jpaannotation&clip=2&mode=live&start=70.132991&noteid=5aa56835-5607-4840-9be7-24df1d8ed6e5"
"bodyParser is needed for post operations . it will convert data send to json. works like a middleware","Building Web Applications with Node.js and Express 4.0","Authentication","Creating the Auth Routes","2:19","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m7&clip=2&mode=live&start=139.084854&noteid=d2ba0b67-a180-4969-bff5-b9ece80f8b91"
"business classes are Goal , Exercise , Activity","Spring with JPA and Hibernate","JPA Annotations and how to use them","Table Annotation Demo","0:17","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m7-jpaannotation&clip=3&mode=live&start=17.178281&noteid=11673356-7b9c-4529-ba3d-df07c48af874"
"@Table use from javax.persistance not from jpa or hibernate","Spring with JPA and Hibernate","JPA Annotations and how to use them","Table Annotation Demo","1:08","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m7-jpaannotation&clip=3&mode=live&start=68.133751&noteid=704821ba-9769-4117-84ba-11506209b4c7"
"@Entity also javax.persisntance","Spring with JPA and Hibernate","JPA Annotations and how to use them","Table Annotation Demo","2:24","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m7-jpaannotation&clip=3&mode=live&start=144.183773&noteid=1b91c1b7-6e4b-4e8f-aa07-250cc60661d2"
"angular code snippet in vscode","Visual Studio Code","Version Control and Git","Creating a New Local and Remote Repository from Scratch","3:12","https://app.pluralsight.com/player?course=visual-studio-code&author=john-papa&name=visual-studio-code-m7&clip=4&mode=live&start=192.663077&noteid=e46bf74a-0a66-4f07-9038-42eb36156068"
"required is common js moudle loading","Building a JavaScript Development Environment","Transpiling","Demo: Set Up Babel","3:15","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m6&clip=5&mode=live&start=195.401213&noteid=f81cdd8f-ed5a-4ffe-8a66-04ad22a0b536"
"es6 style module is import style","Building a JavaScript Development Environment","Transpiling","Demo: Set Up Babel","3:15","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m6&clip=5&mode=live&start=195.401213&noteid=759bb966-b479-45a7-a770-ec7dfd09f2b1"
"last example of cluster module is good","Introduction to Node.js","Scaling Your Node Application","Conclusion","0:17","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m7-scaling&clip=6&mode=live&start=17.81985&noteid=27dac9e3-35b7-468e-b397-d39463baf27b"
"create-drop only drops table if exists . it will not create","Spring with JPA and Hibernate","JPA Annotations and how to use them","How Do We Start Using It?","0:26","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m7-jpaannotation&clip=6&mode=live&start=26.946572&noteid=d7a67982-b189-4dec-9b71-524f49be4de5"
"chicken and the egg problem  . you can finish one without the other","Introduction to Spring MVC 4","Spring MVC 4 Validation","Demo: Custom Validation","0:43","https://app.pluralsight.com/player?course=spring-mvc4-introduction&author=bryan-hansen&name=spring-mvc4-m7-validation&clip=6&mode=live&start=43.533723&noteid=f50decc6-6a3a-4834-be4d-e895ac6cf142"
"phone validation [0-9()-]*","Introduction to Spring MVC 4","Spring MVC 4 Validation","Demo: Custom Validation","7:59","https://app.pluralsight.com/player?course=spring-mvc4-introduction&author=bryan-hansen&name=spring-mvc4-m7-validation&clip=6&mode=live&start=479.74247&noteid=613ce336-6c3c-4ea2-b45d-78389d054f2e"
"GoalService GoalController GoalRepository  ExerciseController ExericiseService ExerciseRepository","Spring with JPA and Hibernate","JPA Annotations and how to use them","Service Configuration Demo","0:19","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m7-jpaannotation&clip=7&mode=live&start=19.824234&noteid=8df1c279-acac-49a3-8d2d-e5ffb53977be"
"public on an interface is a code smell","Spring with JPA and Hibernate","JPA Annotations and how to use them","Repository Configuration Demo","1:26","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m7-jpaannotation&clip=8&mode=live&start=86.614169&noteid=a046940f-3dfc-4374-bc79-7ab87a367a1f"
"Sonar code quality tool for java","Spring with JPA and Hibernate","JPA Annotations and how to use them","Repository Configuration Demo","1:41","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m7-jpaannotation&clip=8&mode=live&start=101.114308&noteid=c741f176-bfdf-46f1-8c66-1a54e91fa5a4"
"save(Goal) in service can do a validation and check state of goal beforse saving into repository . it can send email notification or some other notification as per business rules. so rather than doing that business workflows in the repsoirtory you should do in the service layer.","Spring with JPA and Hibernate","JPA Annotations and how to use them","Repository Configuration Demo","6:01","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m7-jpaannotation&clip=8&mode=live&start=361.199841&noteid=d46c09b0-2227-4884-894c-483ca2c429ff"
"tomcat checks for every 15 seconds for changes and redeploye,if we don't want to wait then we can restart","Spring with JPA and Hibernate","JPA Annotations and how to use them","JPQL Demo","17:08","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m7-jpaannotation&clip=17&mode=live&start=1028.19613&noteid=47b9b3c0-0230-4038-a754-d846ad00d089"
"create filter abover servlet node so it will look much more clean","Spring with JPA and Hibernate","JPA Annotations and how to use them","Lazy Initialization Fix Demo","0:37","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m7-jpaannotation&clip=19&mode=live&start=37.488682&noteid=960e5525-1f5c-45f6-b9d0-b8a0ab32020f"
"projections are much more effeicient than getting one object and finding child.projections fires single query with join and return on single object","Spring with JPA and Hibernate","JPA Annotations and how to use them","Projection Demo","0:00","https://app.pluralsight.com/player?course=spring-jpa-hibernate&author=bryan-hansen&name=springjpa-m7-jpaannotation&clip=21&mode=live&start=0&noteid=ba7ab35d-9143-400d-8df4-0d519b49a106"
"commonjs does not work on browser . commonjs module loading is available in nodejs","Building a JavaScript Development Environment","Bundling","Intro","0:26","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m7&clip=0&mode=live&start=26.019433&noteid=9d6dd11c-65e6-4d42-9878-dcfeed970833"
"all module formats given","Building a JavaScript Development Environment","Bundling","Module Formats","0:45","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m7&clip=1&mode=live&start=45.287805&noteid=e24a0273-9932-4e95-8528-a65f780a9b5d"
"IIFE are ways to encapsulate javascript into modules","Building a JavaScript Development Environment","Bundling","Module Formats","1:04","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m7&clip=1&mode=live&start=64.481736&noteid=4d418125-5b58-4ea8-9f65-ad60dd7be217"
"requrie.js is a bundler","Building a JavaScript Development Environment","Bundling","Choosing a Bundler","0:27","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m7&clip=3&mode=live&start=27.82275&noteid=ee4b89b2-9bc4-4662-8ba2-42a4541585be"
"Treeshaking eliminate code that is not used .in final bundle","Building a JavaScript Development Environment","Bundling","Choosing a Bundler","2:45","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m7&clip=3&mode=live&start=165.313035&noteid=0ad1f48f-1954-40ea-9b10-c05acfd12ead"
"Rollup is still new better than webpack","Building a JavaScript Development Environment","Bundling","Choosing a Bundler","3:33","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m7&clip=3&mode=live&start=213.841213&noteid=2bfb9ff9-66d6-4403-845b-a2c0632d0280"
"jspm bundler uses systemjs whih is universal module loder","Building a JavaScript Development Environment","Bundling","Choosing a Bundler","3:59","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m7&clip=3&mode=live&start=239.594426&noteid=dfbf3f13-ec79-4b14-8ea9-8e21c3acae07"
"universal mean amd,commonjs,es6 modules","Building a JavaScript Development Environment","Bundling","Choosing a Bundler","4:09","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m7&clip=3&mode=live&start=249.345635&noteid=892d5efb-a712-45ef-b4fc-70fbb01a09d6"
"db.Database.Log = Console.WriterLine","LINQ Fundamentals with C# 6.0","LINQ and the Entity Framework","Caveats and Pitfalls of Remote LINQ","0:58","https://app.pluralsight.com/player?course=linq-fundamentals-csharp-6&author=scott-allen&name=linq-fundamentals-csharp-6-m7&clip=5&mode=live&start=58.986439&noteid=df28e7fc-5d3b-41c1-96bc-68de8690ff33"
"numeral module from npm","Building a JavaScript Development Environment","Bundling","Demo: Create App Entry Point     ","0:45","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m7&clip=6&mode=live&start=45.82426&noteid=b5cf19f9-5eea-4f00-8906-2c2218a4d7c2"
"selenium is used for automated ui testing..","Building a JavaScript Development Environment","Testing and Continuous Integration","Test Decisions Overview","1:25","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m9&clip=1&mode=live&start=85.445897&noteid=b48449a9-eef5-4cc9-af26-fbd363272e55"
"Rapid feedback loop","Building a JavaScript Development Environment","Testing and Continuous Integration","Decision 6: When Should Tests Run?","0:18","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m9&clip=7&mode=live&start=18.163381&noteid=03497c43-561d-4e09-b5c5-c5cf1554479e"
"import fs for 'fs for files system","Building a JavaScript Development Environment","Testing and Continuous Integration","Demo: DOM Testing","0:27","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m9&clip=9&mode=live&start=27.586709&noteid=bd010535-d256-4ff7-ac16-3c1699cfb520"
"done parameter for aync test","Building a JavaScript Development Environment","Testing and Continuous Integration","Demo: DOM Testing","4:52","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m9&clip=9&mode=live&start=292.381996&noteid=937bf0c5-b6a9-471a-aedd-4597bb96461c"
"plain xmlhttprequest example","Building a JavaScript Development Environment","HTTP Calls","HTTP Call Approaches","0:55","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m10&clip=1&mode=live&start=55.805018&noteid=d5d29856-c90b-40ee-bdc9-0aaa7f167253"
"fetch api is promise based","Building a JavaScript Development Environment","HTTP Calls","HTTP Call Approaches","2:53","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m10&clip=1&mode=live&start=173.536818&noteid=791fa92e-fc6d-4457-809c-10075b2c84ee"
"Repository Pattern ","Building a JavaScript Development Environment","HTTP Calls","Demo: Fetch","2:17","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m10&clip=3&mode=live&start=137.662343&noteid=73669d18-a248-46d6-a56f-8c10b242b08b"
"get post put delete request is like repository pattern ","Building a JavaScript Development Environment","HTTP Calls","Demo: Fetch","2:47","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m10&clip=3&mode=live&start=167.686044&noteid=4e4a8bb3-c518-402c-bfa2-960d1f6538a1"
